바코드,영문품목명,한글품목명,어드민코드,비고
8809463994244,CELIMAX JI WOO GAE HEARTLEAF BHA PEELING PAD 2PADS,셀리맥스 어성초 바하 지우개 필링 패드 2매,0101_어성초 바하 지우개 필링 패드 2매,
8809463994244,CELIMAX JI WOO GAE HEARTLEAF BHA PEELING PAD 2PADS,셀리맥스 어성초 바하 지우개 필링 패드 2매,0102_어성초 바하 지우개 필링 패드 2매_T,
8809463992615,CELIMAX JI WOO GAE HEARTLEAF BHA PEELING PAD 60PADS,셀리맥스 어성초 바하 지우개 필링 패드 60매,0104_어성초 바하 지우개 필링 패드 60매_T,
8809463992615,CELIMAX JI WOO GAE HEARTLEAF BHA PEELING PAD 60PADS,셀리맥스 어성초 바하 지우개 필링 패드 60매,0105_어성초 바하 지우개 필링 패드 60매,
8809463992615,CELIMAX JI WOO GAE HEARTLEAF BHA PEELING PAD 60PADS,셀리맥스 어성초 바하 지우개 필링 패드 60매,0106_어성초 바하 지우개 필링 패드 60매_T,
8809463994503,CELIMAX MAKEUP RETOUCHING BOOSTER PAD 5PADS,셀리맥스 수정화장 패드 5매,0201_수정화장 패드 5매_M,
8809463994510,CELIMAX MAKEUP RETOUCHING BOOSTER PAD 30PADS,셀리맥스 수정화장 패드 30매,0201_수정화장 패드 30매_M,
8809463992707,CELIMAX ONE STEP BODY BRIGHTENING PAD 60PADS,셀리맥스 원스텝 바디 브라이트닝 패드 60매,0101_원스텝 바디 브라이트닝 패드 60매,
8809626562921,CELIMAX BAKING SODA DEEP PORE JI WOO GAE FOAM CLEANSING 150ML,셀리맥스 베이킹 소다 딥 포어 지우개 폼 클렌징 150ml,0101_베이킹 소다 딥 포어 지우개 폼 클렌징 150ml,
8809463993889,CELIMAX JI WOO GAE ONE STEP MILD CLEANSING PAD 60PADS,셀리맥스 지우개 원스텝 마일드 클렌징 패드 60매,0201_지우개 원스텝 마일드 클렌징 패드 60매_R,
8809783323519,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD 10PADS,셀리맥스 지우개 시카 바하 블레미쉬 토너 패드 10매,0202_지우개 시카 바하 블레미쉬 토너 패드 10매_DT,
8809783321225,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD 60PADS,셀리맥스 지우개 시카 바하 블레미쉬 토너 패드 60매,0201_지우개 시카 바하 블레미쉬 토너 패드 60매_R,
8809954945823,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD REFILL 60PADS,셀리맥스 지우개 시카 바하 블레미쉬 토너 패드 리필 60매,0201_지우개 시카 바하 블레미쉬 토너 패드 리필 60매_R,
8809783324097,CELIMAX JI WOO GAE CICA BHA ACNE FOAM CLEANSING 150ML,셀리맥스 지우개 시카 바하 아크네 폼 클렌징 150ml,0101_지우개 시카 바하 아크네 폼 클렌징 150ml,
8809463992738,CELIMAX JI WOO GAE HEARTLEAF BHA BODY MIST 150ML,셀리맥스 지우개 어성초 바하 바디 미스트 150ml,0101_지우개 어성초 바하 바디 미스트 150ml,
8800296556425,CELIMAX JI WOO GAE CICA PHA PEEL 2-STEP GEL MASK 1EA,셀리맥스 지우개 시카 파하 필 투스텝 겔 마스크 1매,0102_지우개 시카 파하 필 투스텝 겔 마스크 1매_DT,
8800296557255,CELIMAX JI WOO GAE CICA PHA PEEL 2-STEP GEL MASK 4EA,셀리맥스 지우개 시카 파하 필 투스텝 겔 마스크 4매,0101_지우개 시카 파하 필 투스텝 겔 마스크 4매,
8809971482295,CELIMAX THE REAL NONI ENERGY AMPOULE 1.5ML,셀리맥스 더 리얼 노니 에너지 앰플 1.5ml,0101_더 리얼 노니 에너지 앰플 1.5ml,
8809971482301,CELIMAX THE REAL NONI ENERGY AMPOULE 10ML,셀리맥스 더 리얼 노니 에너지 앰플 10ml,0102_더 리얼 노니 에너지 앰플 10ml_T,
8809875907795,CELIMAX THE REAL NONI ENERGY AMPOULE 30ML,셀리맥스 더 리얼 노니 에너지 앰플 30ml,0102_더 리얼 노니 에너지 앰플 30ml_LT,
8809971482318,CELIMAX THE REAL NONI ENERGY AMPOULE 50ML,셀리맥스 더 리얼 노니 에너지 앰플 50ml,0101_더 리얼 노니 에너지 앰플 50ml,
8809971486118,CELIMAX THE REAL NONI ENERGY AMPOULE 100ML,셀리맥스 더 리얼 노니 에너지 앰플 100ml,0101_더 리얼 노니 에너지 앰플 100ml,
8809971482325,CELIMAX THE REAL NONI ENERGY AMPOULE OLIVE YOUNG EDITION 80ML + 10ML,셀리맥스 더 리얼 노니 에너지 앰플 올리브영 에디션 80ml + 10ml,0101_더 리얼 노니 에너지 앰플 올리브영 에디션 80ml + 10ml,
8809750465570,CELIMAX THE REAL NONI CALMING GLOW PAD 10PADS,셀리맥스 더 리얼 노니 카밍 글로우 패드 10매,0102_더 리얼 노니 카밍 글로우 패드 10매_D,
8809750465464,CELIMAX THE REAL NONI CALMING GLOW PAD 50PADS,셀리맥스 더 리얼 노니 카밍 글로우 패드 50매,0101_더 리얼 노니 카밍 글로우 패드 50매,
8809954940132,CELIMAX THE REAL NONI MOISTURE BALANCING TONER 150ML,셀리맥스 더 리얼 노니 수분 밸런싱 토너 150ml,0101_더 리얼 노니 수분 밸런싱 토너 150ml,
8809954943317,CELIMAX THE REAL NONI MOISTURE BALANCING TONER 320ML,셀리맥스 더 리얼 노니 수분 밸런싱 토너 320ml,0101_더 리얼 노니 수분 밸런싱 토너 320ml,
8809954940347,CELIMAX THE REAL NONI HYDRA FIRMING LOTION 150ML,셀리맥스 더 리얼 노니 하이드라 퍼밍 로션 150ml,0101_더 리얼 노니 하이드라 퍼밍 로션 150ml,
8809875909065,CELIMAX THE REAL NONI ENERGY REPAIR CREAM 10ML,셀리맥스 더 리얼 노니 에너지 리페어 크림 10ml,0101_더 리얼 노니 에너지 리페어 크림 10ml,
8809686386185,CELIMAX THE REAL NONI ENERGY REPAIR CREAM 50ML,셀리맥스 더 리얼 노니 에너지 리페어 크림 50ml,0102_더 리얼 노니 에너지 리페어 크림 50ml_LT,
8809606850666,CELIMAX THE REAL NONI ULTIMATE EYE CREAM 20ML,셀리맥스 더 리얼 노니 얼티밋 아이 크림 20ml,0101_더 리얼 노니 얼티밋 아이 크림 20ml,
8809954940477,CELIMAX THE REAL NONI ENERGY AMPOULE MIST 50ML,셀리맥스 더 리얼 노니 에너지 앰플 미스트 50ml,0101_더 리얼 노니 에너지 앰플 미스트 50ml,
8809954940354,CELIMAX THE REAL NONI REFRESH CLAY MASK 120G,셀리맥스 더 리얼 노니 리프레쉬 클레이 마스크 120g,0101_더 리얼 노니 리프레쉬 클레이 마스크 120g,
8809541379468,CELIMAX THE REAL NONI ACNE BUBBLE CLEANSER 155ML,셀리맥스 더 리얼 노니 아크네 버블 폼 클렌징 155ml,0201_더 리얼 노니 아크네 버블 폼 클렌징 155ml_R,
8809541379833,CELIMAX THE REAL NONI BUBBLE CLEANSER GLOBAL EXCLUSIVE 155ML,셀리맥스 더 리얼 노니 버블 폼 클렌징 글로벌 기획 155ml,0101_더 리얼 노니 버블 폼 클렌징 글로벌 기획 155ml,
8809971482349,CELIMAX THE REAL NONI STARTER KIT,셀리맥스 더 리얼 노니 스타터 키트,0101_더 리얼 노니 스타터 키트,
8809849807410,CELIMAX THE REAL NONI ENERGY AMPOULE MASK 1EA,셀리맥스 더 리얼 노니 에너지 앰플 마스크 1매,0201_더 리얼 노니 에너지 앰플 마스크 1매_R,
8809849807427,CELIMAX THE REAL NONI ENERGY AMPOULE MASK 10EA,셀리맥스 더 리얼 노니 에너지 앰플 마스크 10매,0201_더 리얼 노니 에너지 앰플 마스크 10매_R,
8809743544626,CELIMAX THE REAL CICA NIACINAMIDE AC CALMING SERUM 40ML,셀리맥스 더 리얼 시카 나이아신아마이드 에이씨 카밍 세럼 40ml,0101_더 리얼 시카 나이아신아마이드 에이씨 카밍 세럼 40ml,
8809782557861,CELIMAX THE REAL CICA SOOTHING CREAM 50ML,셀리맥스 더 리얼 시카 수딩 크림 50ml,0101_더 리얼 시카 수딩 크림 50ml,
8809743548525,CELIMAX THE REAL CICA CALMING SERUM MASK 1EA,셀리맥스 더 리얼 시카 카밍 세럼 마스크 1매,0201_더 리얼 시카 카밍 세럼 마스크 1매_R,
8809743548532,CELIMAX THE REAL CICA CALMING SERUM MASK 10EA,셀리맥스 더 리얼 시카 카밍 세럼 마스크 10매,0201_더 리얼 시카 카밍 세럼 마스크 10매_R,
8809606852349,CELIMAX DUAL BARRIER CREAMY TONER 20ML,셀리맥스 듀얼배리어 크리미 토너 20ml,0101_듀얼배리어 크리미 토너 20ml,
8809606850475,CELIMAX DUAL BARRIER CREAMY TONER 150ML,셀리맥스 듀얼배리어 크리미 토너 150ml,0101_듀얼배리어 크리미 토너 150ml,
8809606852738,CELIMAX DUAL BARRIER CREAMY TONER RUS EXCLUSIVE 150ML,셀리맥스 듀얼배리어 크리미 토너 러시아 기획 150ml,0101_듀얼배리어 크리미 토너 러시아 기획 150ml,
8809606850482,CELIMAX DUAL BARRIER BOOSTING SERUM 30ML,셀리맥스 듀얼배리어 부스팅 세럼 30ml,0102_듀얼배리어 부스팅 세럼 30ml_I,
8809606850505,CELIMAX DUAL BARRIER SKIN WEARABLE CREAM 50ML,셀리맥스 듀얼배리어 스킨웨어러블 크림 50ml,0101_듀얼배리어 스킨웨어러블 크림 50ml,
8809686388172,CELIMAX DUAL BARRIER WATERY SUN CREAM 40ML,셀리맥스 듀얼배리어 워터리 선크림 40ml,0101_듀얼배리어 워터리 선크림 40ml,
8809606850499,CELIMAX DUAL BARRIER MILD GEL CLEANSER 200ML,셀리맥스 듀얼배리어 마일드 젤 클렌저 200ml,0101_듀얼배리어 마일드 젤 클렌저 200ml,
8809606852578,CELIMAX DUAL BARRIER PURIFYING CLEANSING BALM 50ml X 2EA,셀리맥스 듀얼배리어 퓨리파잉 클렌징 밤 50ml X 2EA,0101_듀얼배리어 퓨리파잉 클렌징 밤 50ml X 2EA,
8809606852585,CELIMAX DUAL BARRIER PURIFYING CLEANSING BALM [REFILL] 50ml,셀리맥스 듀얼배리어 퓨리파잉 클렌징 밤 [리필] 50ml,0101_듀얼배리어 퓨리파잉 클렌징 밤 [리필] 50ml,
8809606852332,CELIMAX DUAL BARRIER TRIAL KIT,셀리맥스 듀얼배리어 트라이얼 키트,0101_듀얼배리어 트라이얼 키트,
8809971480390,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM 10ML,셀리맥스 브라이트닝 모공잡티세럼 10ml,0101_브라이트닝 모공잡티세럼 10ml,
8809875907412,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM 30ML,셀리맥스 브라이트닝 모공잡티세럼 30ml,0102_브라이트닝 모공잡티세럼 30ml_LT,
8809743546330,CELIMAX PORE+DARK SPOT BRIGHTENING PAD 2PADS,셀리맥스 브라이트닝 모공잡티패드 2매,0101_브라이트닝 모공잡티패드 2매,
8809743548259,CELIMAX PORE+DARK SPOT BRIGHTENING PAD 10PADS,셀리맥스 브라이트닝 모공잡티패드 10매,0102_브라이트닝 모공잡티패드 10매_DT,
8809743546323,CELIMAX PORE+DARK SPOT BRIGHTENING PAD 40PADS,셀리맥스 브라이트닝 모공잡티패드 40매,0101_브라이트닝 모공잡티패드 40매,
8809743547467,CELIMAX PORE+DARK SPOT BRIGHTENING PAD 80PADS,셀리맥스 브라이트닝 모공잡티패드 80매,0101_브라이트닝 모공잡티패드 80매,
8800296551772,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM 7ML,셀리맥스 브라이트닝 모공잡티크림 7ml,0101_브라이트닝 모공잡티크림 7ml,
8809971484503,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM 35ML,셀리맥스 브라이트닝 모공잡티크림 35ml,0102_브라이트닝 모공잡티크림 35ml_LTD,
8800296556685,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM GLOBAL EXCLUSIVE 35ML (TXA 3%),셀리맥스 브라이트닝 모공잡티크림 글로벌 기획 35ml (TXA 3%),0101_브라이트닝 모공잡티크림 글로벌 기획 35ml (TXA 3%),
8809971489690,CELIMAX PORE+DARK SPOT BRIGHTENING CARE SUNSCREEN 10ML,셀리맥스 브라이트닝 모공잡티 선크림 10ml,0101_브라이트닝 모공잡티 선크림 10ml,
8809971484510,CELIMAX PORE+DARK SPOT BRIGHTENING CARE SUNSCREEN 50ML,셀리맥스 브라이트닝 모공잡티 선크림 50ml,0102_브라이트닝 모공잡티 선크림 50ml_L,
8809750465228,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM MASK 1EA,셀리맥스 브라이트닝 모공잡티세럼 마스크 1매,0101_브라이트닝 모공잡티세럼 마스크 1매,
8809750465235,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM MASK 10EA,셀리맥스 브라이트닝 모공잡티세럼 마스크 10매,0101_브라이트닝 모공잡티세럼 마스크 10매,
8800296551550,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM MASK 1EA,셀리맥스 모공잡티 브라이트닝 크림 랩핑 마스크 1매,0101_모공잡티 브라이트닝 크림 랩핑 마스크 1매,
8800296551567,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM MASK 4EA,셀리맥스 모공잡티 브라이트닝 크림 랩핑 마스크 4매,0101_모공잡티 브라이트닝 크림 랩핑 마스크 4매,
8800296551789,CELIMAX PORE+DARK SPOT BRIGHTENING KIT,셀리맥스 모공잡티 브라이트닝 3종 키트,0101_모공잡티 브라이트닝 3종 키트,
8800296559730,CELIMAX TXA BRIGHTENING EYE PATCH 60EA,셀리맥스 티엑스에이 브라이트닝 아이패치 60매,0102_티엑스에이 브라이트닝 아이패치 60매_T,
8800296559730,CELIMAX TXA BRIGHTENING EYE PATCH 60EA,셀리맥스 티엑스에이 브라이트닝 아이패치 60매,0103_티엑스에이 브라이트닝 아이패치 60매_T,
8809975198192,CELIMAX TXA BODY CLARIFYING PAD 50PADS,셀리맥스 티엑스에이 바디 클래리파잉 패드 50매,0101_티엑스에이 바디 클래리파잉 패드 50매,
8809700321031,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM 1ML,셀리맥스 더 비타 A 레티놀 샷 타이트닝 세럼 1ml,0101_더 비타 A 레티놀 샷 타이트닝 세럼 1ml,
8809700320805,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM 30ML,셀리맥스 더 비타 A 레티놀 샷 타이트닝 세럼 30ml,0102_더 비타 A 레티놀 샷 타이트닝 세럼 30ml_LT,
8809700321956,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM EUROPE EXCLUSIVE 30ML,셀리맥스 더 비타 A 레티놀 샷 타이트닝 세럼 유럽 기획 30ml,0101_더 비타 A 레티놀 샷 타이트닝 세럼 유럽 기획 30ml,
8809700321048,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER 1ML,셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 1ml,0101_더 비타 A 레티날 샷 타이트닝 부스터 1ml,
8809700321376,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER GLOBAL EXCLUSIVE 3ML,셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 글로벌 기획 3ml,0101_더 비타 A 레티날 샷 타이트닝 부스터 글로벌 기획 3ml,
8809700320812,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER 15ML,셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 15ml,0103_더 비타 A 레티날 샷 타이트닝 부스터 15ml_T,
8809700320812,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER EUROPE EXCLUSIVE 15ML,셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 유럽 기획 15ml,0102_더 비타 A 레티날 샷 타이트닝 부스터 유럽 기획 15ml_T,
8809700321888,CELIMAX THE VITA-A RETINOL + RETINAL SHOT TIGHTENING SERUM & BOOSTER SET GLOBAL EXCLUSIVE,셀리맥스 더 비타 A 레티놀 + 레티날 샷 타이트닝 세럼 & 부스터 세트 (글로벌),0101_더 비타 A 레티놀 세럼 30ml & 레티날 부스터 15ml + 3ml 글로벌 세트,
8809700321994,CELIMAX THE VITA-A RETINOL + RETINAL SHOT TIGHTENING SERUM & BOOSTER SET RUS EXCLUSIVE,셀리맥스 더 비타 A 레티놀 + 레티날 샷 타이트닝 세럼 & 부스터 세트 (러시아),0101_더 비타 A 레티놀 세럼 30ml & 레티날 부스터 15ml + 3ml 러시아 기획,
8809700321703,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING DUAL CREAM 50ML,셀리맥스 더 비타 A 레티날 샷 타이트닝 듀얼 크림 50ml,0103_더 비타 A 레티날 샷 타이트닝 듀얼 크림 50ml_L,
8809700321819,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING FIRST ESSENCE TONER 80ml,셀리맥스 더 비타 A 레티날 샷 타이트닝 퍼스트 에센스 토너 80ml,0101_더 비타 A 레티날 샷 타이트닝 퍼스트 에센스 토너 80ml,
8809700321079,CELIMAX THE VITA-A 7DAYS KIT,셀리맥스 더 비타 A 탄력 채움 키트,0101_더 비타 A 탄력 채움 키트,
8809700321253,CELIMAX THE VITA-A 7DAYS KIT GLOBAL EXCLUSIVE,셀리맥스 더 비타 A 탄력 채움 키트 글로벌 기획,0101_더 비타 A 탄력 채움 키트 글로벌 기획,
8809954949227,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING 2-STEP GEL MASK 1EA,셀리맥스 더 비타 A 레티날 샷 타이트닝 투스텝 겔 마스크 1매,0101_더 비타 A 레티날 샷 타이트닝 투스텝 겔 마스크 1매,
8809700321826,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING 2-STEP GEL MASK 4EA,셀리맥스 더 비타 A 레티날 샷 타이트닝 투스텝 겔 마스크 4매,0101_더 비타 A 레티날 샷 타이트닝 투스텝 겔 마스크 4매,
8809782559018,CELIMAX OIL CONTROL CAPSULE ESSENCE 30ML,셀리맥스 오일 컨트롤 캡슐 에센스 30ml,0101_오일 컨트롤 캡슐 에센스 30ml,
8809782559063,CELIMAX OIL CONTROL LIGHT SUNSCREEN 40ML,셀리맥스 오일 컨트롤 라이트 선크림 40ml,0101_오일 컨트롤 라이트 선크림 40ml,
8809971489911,CELIMAX OIL CONTROL MATTIFYING SUN STICK 19G,셀리맥스 오일 컨트롤 매티파잉 선스틱 19g,0101_오일 컨트롤 매티파잉 선스틱 19g,
8809743546880,CELIMAX OIL CONTROL MOISTURIZING CREAM 80ML,셀리맥스 오일 컨트롤 수분 크림 80ml,0101_오일 컨트롤 수분 크림 80ml,
8809875906811,CELIMAX HEART PINK TONE UP SUN CREAM 40ML,셀리맥스 하트핑크 톤업 선크림 40ml,0101_하트핑크 톤업 선크림 40ml,
8806050299218,CELIMAX DERMA NATURE FRESH BLACKHEAD JOJOBA CLEANSING OIL 20ML,셀리맥스 더마네이처 프레시 블랙헤드 호호바 클렌징오일 20ml,0101_더마네이처 프레시 블랙헤드 호호바 클렌징오일 20ml,
8806050298525,CELIMAX DERMA NATURE FRESH BLACKHEAD JOJOBA CLEANSING OIL 150ML,셀리맥스 더마네이처 프레시 블랙헤드 호호바 클렌징오일 150ml,0101_더마네이처 프레시 블랙헤드 호호바 클렌징오일 150ml,
8809975194439,CELIMAX DERMA NATURE RELIEF MADECICA PH BALANCING FOAM CLEANSING 150ML,셀리맥스 더마네이처 릴리프 마데시카 pH 밸런싱 약산성 폼 클렌징 150ml,0202_더마네이처 릴리프 마데시카 pH 밸런싱 약산성 폼 클렌징 150ml_I,
8809626564000,CELIMAX DERMA NATURE GLUTATHIONE LONGLASTING TONE-UP CREAM 35ML,셀리맥스 더마네이처 글루타티온 롱래스팅 톤업크림 35ml,0101_더마네이처 글루타티온 롱래스팅 톤업크림 35ml,
